genre,movie_count,rating,like,comment
is_action,10249,5.459343350570787,20.38969655576154,2.733339838032979
is_comedy,5362,6.554015292801193,24.00988437150317,2.240022379709064
is_drama,12565,6.231976124154397,30.3575009948269,2.4729805013927577
is_melo,3633,6.413638865951005,41.63308560418387,2.899532067162125
is_horror,5463,4.915626944902068,13.353102690829214,1.452681676734395
is_fantasy,3268,6.0284026927784575,33.940330477356184,4.163708690330477
is_animation,2835,6.858606701940036,31.64620811287478,2.614462081128748
is_DQ,1135,6.863955947136564,29.051982378854625,2.874008810572687
is_indie,51,4.490196078431373,5.705882352941177,0.39215686274509803
is_concert,59,8.501016949152543,90.01694915254237,5.9491525423728815
